querycode,query,num_ads,num_clicks,num_impressions,num_word,brand,location,log_trans,avg_ad_quality,log_imp,avg_num_ads,categoryid
570,west nile virus,2514,191,421,3,0,0,0,0.07852221,6.0426328,5.95962,12
571,party supplies,2896,190,371,2,0,0,3.5263605,0.06794962,5.9162021,7.7654987,16
572,area code,2217,189,530,2,0,0,2.1972246,0.05052486,6.272877,4.1735849,10
573,bed bath & beyon,8816,189,1288,3,1,1,4.0073332,0.01834296,7.1608459,6.8330745,8
574,dominos,3839,189,686,1,0,0,4.4659081,0.04271099,6.5308776,5.590379,14
575,famous footwear,6601,189,852,2,0,0,3.4657359,0.04136337,6.7475865,7.7406103,17
576,hotjobs,5067,189,644,1,0,0,1.0986123,0.04162891,6.4676987,7.8509317,10
577,quickbooks,3166,189,399,1,1,0,3.1354942,0.05543826,5.9889614,7.9273183,9
578,barbie games,10083,188,1451,2,1,0,0.69314718,0.02283477,7.2800083,6.9200551,5
579,kitchen cabinets,2821,188,359,2,0,0,2.7080502,0.07153625,5.8833224,7.8022284,13
580,loan calculator,4788,188,605,2,0,0,3.2958369,0.04643703,6.4052285,7.8958678,9
581,calendars,4630,187,587,1,0,0,1.7917595,0.04198377,6.3750248,7.8739353,19
582,disneyland,9841,187,1244,1,0,0,2.3025851,0.02250893,7.1260873,7.8971061,4
583,free screen save,2700,187,339,3,0,0,1.7917595,0.05818936,5.8260001,7.9292035,11
584,houses for rent,3098,187,392,3,0,0,4.6821312,0.05053465,5.9712618,7.8596939,10
585,messenger,14720,187,3560,1,0,0,1.9459101,0.00689033,8.1775158,4.1292135,11
586,phone directory,3881,187,493,2,0,0,2.5649494,0.06563358,6.2005092,7.851927,10
587,psp,4121,187,525,1,0,0,2.8332133,0.02856742,6.2633983,7.8171429,5
588,joann fabrics,3319,186,481,2,0,0,3.6635616,0.06347078,6.1758673,6.8835759,8
589,kazaa,2522,185,375,1,0,0,2.0794415,0.06521998,5.926926,6.68,11
590,marriot,1841,185,389,1,0,0,2.0794415,0.09131607,5.9635793,4.6940874,4
591,cheap airfare,2827,184,359,2,0,0,5.2781147,0.05631576,5.8833224,7.8662953,4
592,mary kay,4099,184,516,2,0,0,2.3025851,0.04755319,6.2461068,7.9224806,19
593,myspace layouts,41127,184,8340,2,1,0,1.3862944,0.00521096,9.0288185,4.9302158,6
594,spiegel,1709,184,398,1,0,0,1.9459101,0.10904386,5.986452,4.2864322,19
595,wii,4993,184,982,1,0,0,2.6390573,0.03614749,6.8895913,5.0641548,5
596,air canada,6775,183,875,2,1,1,2.9957323,0.02868377,6.7742239,7.72,4
597,mortgage rates,4351,183,629,2,0,0,2.7725887,0.04369465,6.4441313,6.9046105,9
598,netscape,7823,183,1864,1,1,0,1.7917595,0.01861519,7.53048,4.1909871,11
599,radioshack,3127,183,404,1,1,0,3.1354942,0.06149567,6.0014149,7.7128713,11
600,royal caribbean,7549,183,1086,2,1,0,3.0445224,0.03043202,6.9902565,6.93186,4
601,sears parts,3079,183,388,2,1,1,3.7135721,0.06966986,5.9610053,7.8969072,10
602,starbucks,10643,183,1357,1,1,0,2.8903718,0.01809916,7.2130317,7.8393515,1
603,american girl,4348,182,558,2,0,0,1.6094379,0.04665604,6.324359,7.7777778,19
604,myspace login,42807,182,9807,2,1,0,1.9459101,0.00428407,9.1908517,4.36321,6
605,webkins,12530,182,1810,1,0,0,3.0910425,0.00643764,7.5010821,6.9121547,16
606,zip code finder,5450,182,708,3,0,0,2.1972246,0.03425011,6.5624441,7.680791,10
